Reference ID;Country;Product Code;Product Name;Subscription Start Date;Subscription Deactivation Date;Subscription Duration Months;Order Date Kyiv;Return Date Kyiv;Last Rebill Date Kyiv;Has Chargeback;Has Refund;Sales Agent Name;Source;Campaign Name;Total Amount ($);Discount Amount ($);Number Of Rebills;Original Amount ($);Returned Amount ($);Total Rebill Amount
GYB220105-4319-74113;CA;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 6, 2022, 1:08 AM;;;No;No;Esmee;Call;AQ_1;97,11;52,29;;149,40;;
GYB220106-2435-53108;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 6, 2022, 3:43 AM;;;No;No;;;;96,85;52,15;;149,00;;
GYB220106-5490-48130;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 6, 2022, 12:00 AM;февраль 6, 2022, 12:00 AM;1;январь 6, 2022, 5:51 PM;;;No;No;Esmee;Call;AQ_9;79,20;19,80;;99,00;;
GYB220106-2435-63145;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 6, 2022, 12:00 AM;январь 13, 2022, 12:00 AM;12;январь 6, 2022, 6:43 PM;январь 13, 2022, 3:20 AM;;Yes;No;Esmee;Call;AQ_9;432,00;0,00;;432,00;432,00;
GYB220106-1800-64131;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 6, 2022, 12:00 AM;февраль 6, 2022, 12:00 AM;1;январь 6, 2022, 8:31 PM;;;No;No;Esmee;Call;AQ_25;99,00;0,00;;99,00;;
GYB220106-8715-51112;CA;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 6, 2022, 9:18 PM;;;No;No;Jacob;Call;AQ_1;149,45;0,00;;149,45;;
GYB220107-6911-85132;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 7, 2022, 12:00 AM;;1;январь 7, 2022, 3:36 AM;;октябрь 7, 2023, 1:12 PM;No;No;Biby;Chat;AQ_9;432,00;0,00;10;432,00;;199,5
GYB220107-6604-87123;US;aq-gyb-support-6-month-plan-lo; Support 6-month Plan;январь 7, 2022, 12:00 AM;июнь 7, 2022, 12:00 AM;6;январь 7, 2022, 8:07 PM;;;No;No;Rodger;Call;AQ.Upgrade;174,30;74,70;;249,00;;
GYB220107-1511-41116;CA;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 7, 2022, 12:00 AM;;36;январь 7, 2022, 8:35 PM;;;No;No;Jayce;Call;AQ_9;683,68;0,00;;683,68;;
GYB220108-5542-65141;CA;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 8, 2022, 12:00 AM;январь 29, 2022, 12:00 AM;12;январь 8, 2022, 5:50 PM;январь 29, 2022, 11:51 AM;;Yes;No;Rodger;Call;AQ_1;302,37;129,59;;431,96;281,07;
GYB220108-6911-25129;GB;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 8, 2022, 7:02 PM;;;No;No;Clary;Chat;AQ_9;149,41;0,00;;149,41;;
GYB220108-6911-44171;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 8, 2022, 12:00 AM;февраль 8, 2022, 12:00 AM;1;январь 8, 2022, 7:42 PM;;;No;No;Jackie;Call;AQ_25;49,50;49,50;;99,00;;
GYB220108-4354-86171;CA;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 8, 2022, 12:00 AM;;1;январь 9, 2022, 12:39 AM;;октябрь 8, 2023, 12:12 PM;No;No;Rodger;Call;AQ_1;345,57;86,39;10;431,96;;192,95
GYB220108-6911-16230;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 8, 2022, 12:00 AM;апрель 8, 2022, 12:00 AM;1;январь 9, 2022, 2:47 AM;;март 8, 2022, 11:14 AM;No;No;Rodger;Call;AQ_9;99,00;0,00;2;99,00;;39,9
GYB220109-4354-47123;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 9, 2022, 12:00 AM;;1;январь 9, 2022, 3:13 AM;;октябрь 9, 2023, 12:18 PM;No;No;Nick;Call;AQ_25;199,00;0,00;19;199,00;;379,05
GYB220109-1511-50132;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 9, 2022, 12:00 AM;апрель 9, 2022, 12:00 AM;3;январь 9, 2022, 4:56 AM;;;No;No;Jayce;Call;AQ_9;199,00;0,00;;199,00;;
GYB220109-4354-44148;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 9, 2022, 12:00 AM;май 16, 2022, 12:00 AM;1;январь 9, 2022, 1:11 PM;;апрель 9, 2022, 3:04 PM;No;No;Megan;Chat;AQ_9;159,20;39,80;1;199,00;;19,95
GYB220109-6604-74116;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 9, 2022, 12:00 AM;;36;январь 10, 2022, 1:45 AM;;;No;No;Rodger;Call;AQ_25;478,80;205,20;;684,00;;
GYB220110-6911-44113;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 10, 2022, 12:00 AM;;36;январь 10, 2022, 6:42 AM;;;No;No;Rodger;Call;AQ_9;478,80;205,20;;684,00;;
GYB220110-4354-47133;US;aq-gyb-support-24-month-plan-hi; Support 24-month Plan;январь 10, 2022, 12:00 AM;январь 10, 2024, 12:00 AM;24;январь 10, 2022, 7:31 PM;;;No;No;Esmee;Call;AQ_25;576,00;0,00;;576,00;;
GYB220110-4354-90170;CA;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 10, 2022, 12:00 AM;;36;январь 10, 2022, 9:08 PM;;;No;No;Esmee;Call;AQ_1;684,10;0,00;;684,10;;
GYB220110-6604-28126;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 10, 2022, 12:00 AM;январь 10, 2023, 12:00 AM;12;январь 11, 2022, 1:29 AM;;;No;No;Vicky;Call;AQ_25;432,00;0,00;;432,00;;
GYB220110-8954-29129;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 10, 2022, 12:00 AM;апрель 10, 2022, 12:00 AM;3;январь 11, 2022, 1:34 AM;;;No;No;Rinna;Chat;AQ_9;199,00;0,00;;199,00;;
GYB220111-1511-84107;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 11, 2022, 12:00 AM;январь 9, 2023, 12:00 AM;12;январь 11, 2022, 3:22 AM;февраль 12, 2022, 5:17 PM;;No;Yes;Jayce;Call;AQ_9;432,00;0,00;;432,00;382,00;
GYB220111-4354-59122;AU;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 11, 2022, 12:00 AM;январь 11, 2023, 12:00 AM;12;январь 11, 2022, 12:28 PM;;;No;No;Olivia;Chat;AQ_9;431,60;0,00;;431,60;;
GYB220111-5542-38113;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 11, 2022, 8:11 PM;;;No;No;Jacob;Call;AQ_25;111,75;37,25;;149,00;;
GYB220111-1511-18147;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 11, 2022, 9:24 PM;;;No;No;Biby;Chat;AQ_9;149,00;0,00;;149,00;;
GYB220111-6911-88135;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 11, 2022, 12:00 AM;февраль 11, 2022, 12:00 AM;1;январь 12, 2022, 2:25 AM;;;No;No;Esmee;Call;AQ_9;49,50;49,50;;99,00;;
GYB220112-8954-29108;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 12, 2022, 4:39 AM;;;No;No;Vicky;Call;AQ_25;119,20;29,80;;149,00;;
GYB220112-6604-58114;AU;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 12, 2022, 12:00 AM;январь 12, 2023, 12:00 AM;12;январь 12, 2022, 7:49 AM;;;No;No;Vicky;Call;AQ_7;367,27;64,81;;432,08;;
GYB220113-1511-88122;US;aq-gyb-support-24-month-plan-hi; Support 24-month Plan;январь 13, 2022, 12:00 AM;;24;январь 13, 2022, 6:07 PM;;;No;No;Rodger;Call;AQ_9;576,00;0,00;;576,00;;
GYB220113-1511-25165;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 13, 2022, 7:44 PM;;;No;No;Jacob;Call;AQ_9;111,75;37,25;;149,00;;
GYB220113-6911-97136;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 13, 2022, 12:00 AM;сентябрь 13, 2025, 12:00 AM;36;январь 13, 2022, 7:53 PM;;;No;No;Rodger;Chat;AQ.Upgrade;478,80;205,20;;684,00;;
GYB220113-8954-28128;AU;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 13, 2022, 12:00 AM;январь 20, 2023, 12:00 AM;1;январь 14, 2022, 2:21 AM;;;No;No;Isaac;Call;AQ_7;323,99;108,00;;431,99;;
GYB220113-5542-30106;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 13, 2022, 12:00 AM;сентябрь 13, 2022, 12:00 AM;1;январь 14, 2022, 2:26 AM;;август 13, 2022, 2:07 PM;No;No;Nick;Call;AQ_9;79,20;19,80;7;99,00;;139,65
GYB220114-8954-36122;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 14, 2022, 12:00 AM;январь 14, 2025, 12:00 AM;36;январь 14, 2022, 7:15 PM;;;No;No;Rodger;Call;BF.Upgrade;478,80;205,20;;684,00;;
GYB220114-5542-89110;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 14, 2022, 12:00 AM;;1;январь 14, 2022, 7:53 PM;;октябрь 14, 2023, 1:08 PM;No;No;Rodger;Call;AQ_9;99,00;0,00;21;99,00;;418,95
GYB220114-8954-75165;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 14, 2022, 12:00 AM;май 21, 2022, 12:00 AM;1;январь 14, 2022, 9:01 PM;;апрель 14, 2022, 3:16 PM;No;No;Nick;Call;AQ_9;99,00;0,00;3;99,00;;59,85
GYB220114-6911-61143;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 14, 2022, 11:37 PM;;;No;No;Rodger;Call;AQ_9;74,50;74,50;;149,00;;
GYB220114-4354-98127;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 14, 2022, 12:00 AM;;36;январь 15, 2022, 2:39 AM;;;No;No;Jackie;Call;AQ_9;684,00;0,00;;684,00;;
GYB220115-5542-13134;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 15, 2022, 12:00 AM;;36;январь 15, 2022, 7:18 PM;;;No;No;;;;684,00;0,00;;684,00;;
GYB220115-4354-14130;CA;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 15, 2022, 8:32 PM;;;No;No;Jackie;Call;AQ_9;112,15;37,38;;149,53;;
GYB220115-1511-83127;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 15, 2022, 12:00 AM;июнь 15, 2022, 12:00 AM;36;январь 15, 2022, 10:00 PM;июнь 15, 2022, 1:52 PM;;No;Yes;Jackie;Call;AQ_9;684,00;0,00;;684,00;535,00;
GYB220115-6604-51110;CA;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 15, 2022, 11:46 PM;;;No;No;Jackie;Call;AQ_1;97,20;52,34;;149,54;;
GYB220116-4354-54118;US;gyb-support-24-month-plan-hi; Support 24-month Plan;январь 16, 2022, 12:00 AM;январь 16, 2024, 12:00 AM;24;январь 16, 2022, 7:00 AM;;;No;No;Rodger;Call;BF.Upgrade;403,20;172,80;;576,00;;
GYB220116-8954-85139;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 16, 2022, 12:00 AM;март 16, 2023, 12:00 AM;1;январь 17, 2022, 2:28 AM;;февраль 16, 2023, 1:46 PM;No;No;Rinna;Chat;AQ_9;99,00;0,00;13;99,00;;259,35
GYB220117-4354-30158;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 17, 2022, 6:36 PM;;;No;No;Biby;Chat;AQ_9;149,00;0,00;;149,00;;
GYB220117-4354-16192;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 17, 2022, 11:10 PM;;;No;No;Esmee;Call;AQ_25;149,00;0,00;;149,00;;
GYB220117-2241-26129;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 18, 2022, 12:06 AM;;;No;No;Vicky;Call;AQ_9;149,00;0,00;;149,00;;
GYB220117-5542-74117;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 18, 2022, 1:33 AM;;;No;No;;;;104,30;44,70;;149,00;;
GYB220117-1511-42127;AU;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 17, 2022, 12:00 AM;февраль 17, 2022, 12:00 AM;1;январь 18, 2022, 2:07 AM;;;No;No;Esmee;Call;AQ_7;49,70;49,70;;99,40;;
GYB220118-5922-10128;AU;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 18, 2022, 12:00 AM;январь 18, 2023, 12:00 AM;12;январь 18, 2022, 4:54 AM;;;No;No;Megan;Chat;AQ_9;432,46;0,00;;432,46;;
GYB220118-5542-13132;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 18, 2022, 5:19 PM;;;No;No;Olivia;Chat;AQ_9;96,85;52,15;;149,00;;
GYB220118-2241-69161;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 18, 2022, 12:00 AM;январь 18, 2023, 12:00 AM;12;январь 18, 2022, 9:56 PM;;;No;No;Olivia;Chat;AQ_9;432,00;0,00;;432,00;;
GYB220119-1511-12112;NZ;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 19, 2022, 12:00 AM;январь 19, 2023, 12:00 AM;12;январь 19, 2022, 3:27 AM;;;No;No;Biby;Chat;AQ_9;432,12;0,00;;432,12;;
GYB220119-1100-86144;UA;aq-gyb-support-12-month-plan; Support 12-month plan;январь 19, 2022, 12:00 AM;январь 19, 2023, 12:00 AM;12;январь 19, 2022, 12:36 PM;;;No;No;;;;336,00;0,00;;336,00;;
GYB220119-5542-36129;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 19, 2022, 12:00 AM;июль 21, 2022, 12:00 AM;1;январь 19, 2022, 12:55 PM;;июнь 21, 2022, 3:03 PM;No;No;Clary;Chat;AQ_9;99,00;0,00;5;99,00;;99,75
GYB220119-5542-34147;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 19, 2022, 12:00 AM;январь 19, 2022, 12:00 AM;1;январь 19, 2022, 8:44 PM;январь 19, 2022, 2:01 PM;;No;Yes;Jackie;Call;AQ.Upgrade;99,00;0,00;;99,00;99,00;
GYB220120-5593-26130;US;aq-gyb-support-24-month-plan-hi; Support 24-month Plan;январь 20, 2022, 12:00 AM;январь 20, 2024, 12:00 AM;24;январь 20, 2022, 4:00 AM;;;No;No;Jacob;Call;AQ_9;460,80;115,20;;576,00;;
GYB220120-5593-50153;US;aq-gyb-support-multiple-monthly; Support Multiple Device Monthly Subscription;январь 20, 2022, 12:00 AM;январь 20, 2022, 12:00 AM;1;январь 20, 2022, 9:33 PM;;;No;No;Clary;Chat;AQ_9;99,00;0,00;;99,00;;
GYB220120-6604-72109;CA;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 20, 2022, 12:00 AM;декабрь 23, 2022, 12:00 AM;12;январь 21, 2022, 1:25 AM;;;No;No;Esmee;Call;AQ_1;431,70;0,00;;431,70;;
GYB220120-2241-43133;US;aq-gyb-support-multiple-monthly; Support Multiple Device Monthly Subscription;январь 20, 2022, 12:00 AM;январь 20, 2023, 12:00 AM;1;январь 21, 2022, 2:35 AM;;декабрь 21, 2022, 3:22 PM;No;No;Rodger;Call;AQ_9;49,50;49,50;11;99,00;;137,17
GYB220121-5040-92123;AU;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 21, 2022, 12:00 AM;январь 21, 2023, 12:00 AM;12;январь 21, 2022, 5:43 AM;;;No;No;Nick;Call;AQ_9;431,85;0,00;;431,85;;
GYB220121-8904-88103;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 21, 2022, 2:13 PM;;;No;No;Megan;Chat;AQ_9;104,30;44,70;;149,00;;
GYB220121-6407-70121;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 21, 2022, 5:57 PM;;;No;No;Vicky;Call;AQ_25;149,00;0,00;;149,00;;
GYB220121-2436-93132;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 21, 2022, 11:22 PM;;;No;No;Rodger;Call;AQ_25;149,00;0,00;;149,00;;
GYB220122-8904-42117;GF;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 22, 2022, 12:00 AM;май 29, 2022, 12:00 AM;1;январь 22, 2022, 5:38 PM;;апрель 22, 2022, 2:59 PM;No;No;Nick;Call;AQ_9;159,28;39,82;1;199,10;;19,86
GYB220122-8769-24151;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 22, 2022, 12:00 AM;февраль 22, 2022, 12:00 AM;12;январь 22, 2022, 6:31 PM;февраль 22, 2022, 12:27 PM;;No;Yes;Megan;Chat;AQ_9;324,00;108,00;;432,00;324,00;
GYB220122-2436-24119;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 22, 2022, 12:00 AM;;36;январь 22, 2022, 8:44 PM;;;No;No;Nick;Call;AQ_9;684,00;0,00;;684,00;;
GYB220122-2436-97159;BM;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 22, 2022, 12:00 AM;январь 22, 2023, 12:00 AM;12;январь 22, 2022, 9:18 PM;;;No;No;Megan;Chat;AQ_9;432,00;0,00;;432,00;;
GYB220122-2436-64171;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 22, 2022, 12:00 AM;апрель 22, 2022, 12:00 AM;3;январь 22, 2022, 10:36 PM;;;No;No;;;;199,00;0,00;;199,00;;
GYB220122-8769-66181;CR;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 22, 2022, 12:00 AM;январь 22, 2023, 12:00 AM;12;январь 22, 2022, 11:03 PM;;;No;No;Nick;Call;AQ_9;324,00;108,00;;432,00;;
GYB220122-8904-75163;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 22, 2022, 12:00 AM;сентябрь 20, 2022, 12:00 AM;1;январь 23, 2022, 12:37 AM;;август 22, 2022, 12:39 PM;No;No;Jackie;Call;AQ_9;199,00;0,00;5;199,00;;99,75
GYB220123-2436-43128;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 23, 2022, 12:00 AM;;36;январь 23, 2022, 10:16 PM;;;No;No;Biby;Chat;AQ_9;684,00;0,00;;684,00;;
GYB220123-2436-86149;US;gyb-support-36-month-plan-hi; Support 36-month Plan;январь 23, 2022, 12:00 AM;январь 23, 2025, 12:00 AM;36;январь 23, 2022, 11:01 PM;;;No;No;Jackie;Call;BF.Upgrade;581,40;102,60;;684,00;;
GYB220123-2255-93147;US;aq-gyb-support-24-month-plan-hi; Support 24-month Plan;январь 23, 2022, 12:00 AM;;24;январь 23, 2022, 11:24 PM;;;No;No;Biby;Chat;AQ_9;576,00;0,00;;576,00;;
GYB220123-8769-26121;BS;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 23, 2022, 12:00 AM;апрель 23, 2022, 12:00 AM;3;январь 24, 2022, 2:25 AM;;;No;No;Megan;Chat;AQ_9;199,00;0,00;;199,00;;
GYB220124-2255-50131;AU;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 24, 2022, 12:00 AM;февраль 27, 2023, 12:00 AM;36;январь 24, 2022, 4:36 AM;март 29, 2022, 8:40 PM;;No;Yes;Jayce;Call;AQ_7;683,69;0,00;;683,69;478,23;
GYB220124-1295-38123;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 24, 2022, 4:58 PM;;;No;No;Jayce;Call;AQ_9;149,00;0,00;;149,00;;
GYB220124-2436-59151;US;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 24, 2022, 12:00 AM;январь 24, 2025, 12:00 AM;36;январь 24, 2022, 7:35 PM;;;No;No;Jacob;Call;AQ_1;581,40;102,60;;684,00;;
GYB220124-8769-18129;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 24, 2022, 12:00 AM;январь 31, 2023, 12:00 AM;1;январь 24, 2022, 8:19 PM;;;No;No;Jayce;Call;AQ_1;432,00;0,00;;432,00;;
GYB220124-5040-40146;US;aq-gyb-support-24-month-plan-hi; Support 24-month Plan;январь 24, 2022, 12:00 AM;февраль 1, 2022, 12:00 AM;24;январь 24, 2022, 10:59 PM;февраль 1, 2022, 12:13 PM;;No;Yes;Jacob;Call;AQ_1;489,60;86,40;;576,00;489,60;
GYB220125-6407-71134;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 25, 2022, 12:00 AM;февраль 1, 2023, 12:00 AM;1;январь 25, 2022, 4:24 AM;;;No;No;Esmee;Call;AQ_9;432,00;0,00;;432,00;;
GYB220125-2971-78104;US;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 25, 2022, 4:59 AM;;;No;No;Biby;Chat;AQ_9;119,20;29,80;;149,00;;
GYB220125-2971-41139;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 25, 2022, 12:00 AM;февраль 20, 2023, 12:00 AM;1;январь 25, 2022, 4:54 PM;;январь 25, 2023, 11:19 AM;No;No;Rodger;Call;AQ_9;432,00;0,00;1;432,00;;19,95
GYB220125-2255-85132;CA;gyb-support-24-month-plan; Support 24-month plan;январь 25, 2022, 12:00 AM;апрель 25, 2024, 12:00 AM;24;январь 25, 2022, 8:04 PM;;;No;No;Rodger;Chat;BF.Upgrade;323,67;107,89;;431,56;;
GYB220125-2971-44183;US;aq-gyb-support-multiple-monthly; Support Multiple Device Monthly Subscription;январь 25, 2022, 12:00 AM;февраль 25, 2022, 12:00 AM;1;январь 25, 2022, 8:50 PM;;;No;No;Rodger;Call;AQ_25;99,00;0,00;;99,00;;
GYB220125-5040-15140;CA;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 25, 2022, 12:00 AM;январь 25, 2025, 12:00 AM;36;январь 26, 2022, 12:44 AM;;;No;No;Jackie;Call;AQ_9;683,30;0,00;;683,30;;
GYB220125-5040-15140;CA;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 25, 2022, 12:00 AM;январь 25, 2025, 12:00 AM;36;январь 26, 2022, 12:44 AM;;;No;No;Rodger;From Support;AQ.Upgrade;683,30;0,00;;683,30;;
GYB220125-5040-15140;CA;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 25, 2022, 12:00 AM;январь 25, 2025, 12:00 AM;36;январь 26, 2022, 12:44 AM;;;No;No;Rodger;From Support;AQ_9;683,30;0,00;;683,30;;
GYB220125-5040-15170;US;aq-gyb-support-single-monthly; Support Single Device Monthly Subscription;январь 25, 2022, 12:00 AM;февраль 25, 2022, 12:00 AM;1;январь 26, 2022, 1:06 AM;;;No;No;Nick;Call;AQ_9;99,00;0,00;;99,00;;
GYB220125-2255-67157;CA;aq-one-time-pc-support; Support One Time PC Support ;;;0;январь 26, 2022, 1:13 AM;;;No;No;Jackie;Call;AQ_1;111,91;37,30;;149,21;;
GYB220125-2971-84221;US;aq-gyb-support-3-month-plan-lo; Support 3-month Plan;январь 25, 2022, 12:00 AM;апрель 26, 2022, 12:00 AM;1;январь 26, 2022, 1:50 AM;;;No;No;Jackie;Call;AQ_5;199,00;0,00;;199,00;;
GYB220126-2971-96115;US;aq-gyb-support-12-month-plan-hi; Support 12-month Plan;январь 26, 2022, 12:00 AM;январь 26, 2023, 12:00 AM;12;январь 26, 2022, 5:52 PM;;;No;No;Jackie;Call;AQ_9;367,20;64,80;;432,00;;
GYB220126-5040-74119;CA;aq-gyb-support-24-month-plan-hi; Support 24-month Plan;январь 26, 2022, 12:00 AM;;24;январь 26, 2022, 8:11 PM;;;No;No;Rodger;Call;AQ_1;575,91;0,00;;575,91;;
GYB220126-8904-64130;MT;aq-gyb-support-36-month-plan-hi; Support 36-month Plan;январь 26, 2022, 12:00 AM;;36;январь 26, 2022, 8:48 PM;;;No;No;Clary;Chat;AQ_9;683,71;0,00;;683,71;;
GYB220127-6407-77118;PG;aq-gyb-support-24-month-plan-hi; Support 24-month Plan;январь 27, 2022, 12:00 AM;;24;январь 27, 2022, 3:06 AM;;;No;No;Ruby;Chat;AQ_9;576,00;0,00;;576,00;;
